# format_version: 1;
# system_name: Nexus;
# date_time: 2021-01-13T00-00-00Z;
# samples_per_day: 144;
# project_first_level: AIRPORT;
# project_second_level: AD8_PROTOTYPE;
# project_name: ISPIN;
# project_version: 0;
# license: Data from this project may only be used and distributed within Fraunhofer IWES.;
Unix time;SaDataValid;WS_free_avg;DataOK;
-;600 s;600 s;600 s;
-;-;m/s;-;
1610652600.00000;1;5.482;0;
1610653200.00000;1;4.495;0;
1610653800.00000;1;4.487;0;
1610654400.00000;1;4.892;0;
1610655000.00000;1;5.402;0;
1610655600.00000;1;6.433;0;
1610656200.00000;1;6.374;0;
1610656800.00000;1;6.058;0;
1610657400.00000;1;5.968;0;
1610658000.00000;1;5.95;0;
1610658600.00000;1;7.365;0;
1610659200.00000;1;6.562;0;
1610659800.00000;1;6.971;0;
1610660400.00000;1;7.211;0;
1610661000.00000;1;7.511;0;
1610661600.00000;1;7.014;0;
1610662200.00000;1;7.023;0;
1610662800.00000;1;6.511;0;
1610663400.00000;1;5.961;0;
1610664000.00000;1;5.838;0;
1610664600.00000;1;5.947;0;
1610665200.00000;1;5.816;0;
1610665800.00000;1;6.309;0;
1610666400.00000;1;5.766;0;
1610667000.00000;1;5.662;0;
1610667600.00000;1;5.584;0;
1610668200.00000;1;4.969;0;
1610668800.00000;1;5.487;0;
1610669400.00000;1;5.82;0;
1610670000.00000;1;5.872;0;
1610670600.00000;1;5.996;0;
1610671200.00000;1;5.468;0;
1610671800.00000;1;5.938;0;
1610672400.00000;1;6.248;0;
1610673000.00000;1;5.987;0;
1610673600.00000;1;6.585;0;
1610674200.00000;1;6.156;0;
1610674800.00000;1;5.713;0;
1610675400.00000;1;5.193;0;
1610676000.00000;1;6.284;0;
1610676600.00000;1;5.93;0;
1610677200.00000;1;6.36;0;
1610677800.00000;1;6.654;0;
1610678400.00000;1;6.176;0;
1610679000.00000;1;6.516;0;
1610679600.00000;1;5.783;0;
1610680200.00000;1;6.342;0;
1610680800.00000;1;6.403;0;
1610681400.00000;1;5.557;0;
1610682000.00000;1;5.593;0;
1610682600.00000;1;6.3;0;
1610683200.00000;1;5.933;0;
1610683800.00000;1;5.511;0;
1610684400.00000;1;5.181;0;
1610685000.00000;1;6.076;0;
1610685600.00000;1;6.087;0;
1610686200.00000;1;5.911;0;
1610686800.00000;1;5.708;0;
1610687400.00000;1;5.736;0;
1610688000.00000;1;5.013;0;
1610688600.00000;1;4.746;0;
1610689200.00000;1;4.1;0;
1610689800.00000;1;4.423;0;
1610690400.00000;1;4.458;0;
1610691000.00000;1;5.069;0;
1610691600.00000;1;4.459;0;
1610692200.00000;1;5.626;0;
1610692800.00000;1;7.245;0;
1610693400.00000;1;7.28;0;
1610694000.00000;1;6.644;0;
1610694600.00000;1;6.385;0;
1610695200.00000;1;7.208;0;
1610695800.00000;1;5.911;0;
1610696400.00000;0;-4444;0;
1610697000.00000;0;-4444;0;
1610697600.00000;0;7.535;0;
1610698200.00000;1;8.709;0;
1610698800.00000;1;9.455;0;
1610699400.00000;1;9.235;0;
1610700000.00000;1;8.371;0;
1610700600.00000;1;8.887;0;
1610701200.00000;1;9.029;0;
1610701800.00000;1;8.105;0;
1610702400.00000;1;6.678;0;
1610703000.00000;1;6.87;0;
1610703600.00000;1;7.367;0;
1610704200.00000;1;6.09;0;
1610704800.00000;1;7.177;0;
1610705400.00000;1;7.498;0;
1610706000.00000;1;6.586;0;
1610706600.00000;1;6.962;0;
1610707200.00000;1;7.439;0;
1610707800.00000;1;6.401;0;
1610708400.00000;1;6.407;0;
1610709000.00000;1;5.349;0;
1610709600.00000;1;5.656;0;
1610710200.00000;1;6.802;0;
1610710800.00000;1;5.704;0;
1610711400.00000;1;5.859;0;
1610712000.00000;1;6.157;0;
1610712600.00000;1;5.886;0;
1610713200.00000;1;6.277;0;
1610713800.00000;0;5.52;0;
1610714400.00000;1;5.481;0;
1610715000.00000;1;4.99;0;
1610715600.00000;1;4.646;0;
1610716200.00000;1;4.47;0;
1610716800.00000;1;5.054;0;
1610717400.00000;1;5.022;0;
1610718000.00000;1;5.233;0;
1610718600.00000;1;5.678;0;
1610719200.00000;1;6.531;0;
1610719800.00000;1;6.938;0;
1610720400.00000;1;7.136;0;
1610721000.00000;1;6.57;0;
1610721600.00000;1;6.879;0;
1610722200.00000;1;5.58;0;
1610722800.00000;1;5.514;0;
1610723400.00000;1;5.057;0;
1610724000.00000;1;4.44;0;
1610724600.00000;1;4.496;0;
1610725200.00000;1;5.913;0;
1610725800.00000;1;4.58;0;
1610726400.00000;1;4.071;0;
1610727000.00000;1;5.192;0;
1610727600.00000;1;5.388;0;
1610728200.00000;1;5.201;0;
1610728800.00000;1;4.471;0;
1610729400.00000;1;4.607;0;
1610730000.00000;1;4.249;0;
1610730600.00000;1;3.819;0;
1610731200.00000;1;3.928;0;
1610731800.00000;1;4.468;0;
1610732400.00000;1;4.089;0;
1610733000.00000;1;3.718;0;
1610733600.00000;1;3.199;0;
1610734200.00000;1;3.813;0;
1610734800.00000;1;3.287;0;
1610735400.00000;1;2.123;0;
1610736000.00000;1;2.386;0;
1610736600.00000;1;2.487;0;
1610737200.00000;1;2.88;0;
1610737800.00000;1;2.54;0;
1610738400.00000;1;2.466;0;
1610739000.00000;1;2.316;0;
1610739600.00000;1;2.25;0;
1610740200.00000;1;2.538;0;
1610740800.00000;1;2.794;0;
1610741400.00000;1;2.651;0;
1610742000.00000;1;2.958;0;
1610742600.00000;1;2.346;0;
1610743200.00000;1;2.775;0;
1610743800.00000;1;1.96;0;
1610744400.00000;1;1.764;0;
1610745000.00000;1;1.377;0;
1610745600.00000;1;1.684;0;
1610746200.00000;1;2.444;0;
1610746800.00000;1;2.649;0;
1610747400.00000;1;2.312;0;
1610748000.00000;1;2.817;0;
1610748600.00000;1;3.47;0;
1610749200.00000;1;3.5;0;
1610749800.00000;1;3.126;0;
1610750400.00000;1;2.31;0;
1610751000.00000;1;2.067;0;
1610751600.00000;1;1.62;0;
1610752200.00000;1;2.123;0;
1610752800.00000;1;2.166;0;
1610753400.00000;1;2.752;0;
1610754000.00000;1;3.754;0;
1610754600.00000;1;4.246;0;
